name,pop,latitude,longitude
Johor,3700000,1.99083,103.48278
Kedah,2071900,6.12833,100.36278
Kelantan,2001000,5.250,102.000
Malacca,932700,2.200,102.250
Negeri Sembilan,1098500,2.750,102.250
Pahang,1623200,3.750,102.500
Perak,2500000,4.750,101.000
Perlis,254400,6.500,100.250
Penang,1783000,5.40250,100.36500
Selangor,6448400,3.333,101.500
Terengganu,1210500,4.750,103.000
Sabah,3900000,5.250,117.000
Sarawak,2907500,2.800,113.883
Kuala Lumpur,1790000,3.14778,101.69528
Labuan,99500,5.30000,115.22000
Putrajaya,91900,2.93000,101.69000
